CommentID,CommentText,Model_Classification,Annotation,NumberOfLikes,IsReply,Level,ParentCommentText,Timestamp
COMMENT_6e08e879,This is the Democrat Enabled Illegal Alien invasion that NY voted for.,PRCT,True,0,True,1,"New Yorkers, protesting against migrants in the school, were arrested last night.
Today migrants, protected by NYPD, are entering the school.

We (NYC) need support for the next 100,000 asylum seekers that are arriving - said NYC authorities on August, 24th.
According to CBS, the number of asylum seekers arriving in NYC doubled last month from 300 a day to 600 a day. Numbers 900, 1000 a day are expected in the near future.
""We've been forced to play an unsustainable game of whack-a-mole, opening site after site as asylum seekers continue to arrive by the thousand"", said Mayor Eric Adams.",2023-08
COMMENT_4b2d6fab,@[USER]  not hispanic they are from europe  will be decolonized with his American people from Canada alaway to argentina vizier house will be recovered  from 501c4 usa corporation sitting operating business in our land,PRCT,False,0,True,2,uSA is gonna be Hispanics one day.,2023-10
COMMENT_fc31fa6d,It's a deliberate act to destroy Europe and the west,PRCT,True,0,True,1,"As a Mexican i feel sad for this immigration mess. It's just destroying thousands of years of culture and repetition of costumes, language, songs and food. It's what makes every country unique and distinct from another.",2023-02
COMMENT_14011d63,"After Brexit and Trump, I think the powers that be want to replace us all",PRCT,True,0,True,1,"Imagine getting here and calling your friends and family in China 
“I made it in. There’s a massive fence for miles and miles, then a random gap that thousands of people can walk through. The government even knows about it. I’m not making this us. There are guards behind the fence with guns, but they stand 20 feet back and do nothing. I swear I’m not making this up”",2024-02
COMMENT_0c0a8a77,"@[USER]   ""It's okay if I am replaced in my homeland by non-natives, as long as it's done legally!""
This mindset ruined the US, don't let it ruin Europe too",PRCT,True,0,True,3,@[USER]  exactly if they want to come do it legally,2023-04
COMMENT_b5ad8260,"@[USER]  so as i understand it that logic goes like this: migrating illegaly is not ok if it's done by non-powerful people. It's only ok when done as an invasion, and the invader manages to overpower/masacre/enslave the previous residents, therefore ""winning""",PRCT,True,0,True,3,@[USER]  you hypocrite.,2023-04
COMMENT_4f335f6b,YEP! Muslim illegal immigrants destroyed my homeland of France. These migrants from the Spanish speaking world are destroying America. GET OUT,PRCT,True,0,True,1,"It's like giving a starving person a sandwich, and they complain that its not toasted or organic.",2023-12
COMMENT_6b87d0f6,Absolutely! I call them outlaw invaders.,PRCT,True,0,True,1,ILLEGAL not migrant.,2024-02
COMMENT_687c8d36,"Indeed. Ruthless, savage leaches! Invading our country and get more help than Americans",PRCT,True,0,True,1,Savages,2024-10
COMMENT_40fe86e9,"This is disgusting, it turns my stomach. Watching my country be invaded day after day and no one to stop it.",PRCT,True,26,True,0,,2023-09
COMMENT_2bb5f557,@[USER]  They are controlled by foreign interests and are being instructed to allow tthis. It is an invasion and has nothing to do with economics.,PRCT,True,0,True,3,@[USER]  he aint gonna do jack beans for americans just like the last time.,2024-02
COMMENT_2aa112eb,Thats invasion. Get rif of those people now.,PRCT,True,5,True,1,"Saying Swedens integration has failed is an understatement. I live in southern Sweden. A lot of migration move here because of the mild climate. You cannot even begin to understand how bad society becomes after 7 years of unrestricted immigration on top of 20+ years of fairly high immigration. My own neighbourhood went from being calm, crime free and clean to having multiple shoot outs between criminals every year. Several bombs have exploded in the area too. There's vandalisation going on all the time. Every week something is damaged that you use. I've had 3 break ins during a single year. Rat infestation because people stopped taking care of the garbage means i can see literal rats running across the roads when i go to the shops.

I've spoken to migrants that been collegues that live in fairly bad areas in my city and they speak of parallell societies where local groups run both policing and even ""checks"" of anyone that enters the area. One collegue couldn't even have male friends over because women aren't supposed to have male friends apparently and she had one over that later got threatened by a gang of thugs with a knife. When i picked her up one day, i had to park 2 districts down so they couldnt see the registration of my car number so they could find me later.

A country isn't just its borders and history. But the people itself is the country. If you start replacing or filling a country with people of less developed and ultimately worse morals and way of living.. then you essentially change the country for the worst. This is ultimately, despite delusions and hopes of different outcome, that this is the reality.. and it won't change.

And the politicians aren't helping. The latest change for example is that they want to remove the grade F because too many migrants fail even primary school, so in order to still get them through education.. they simply want to remove the grade F for these people. Just to give an idea of the level of seriousness our politicians are taking it.",2023-03
COMMENT_18087388,"The tactic is the same in each democratic european country. Get every health and social care, breed like rabbits, then gain the majority vote.",PRCT,True,1,True,0,,2023-12
COMMENT_383078d2,@[USER] stop beating that old drum it's not going to help our country and our citizens now. And the native Americans are legal citizens of the United States. So it's not even in the same realm as illegals invading our border aided by a corrupt government and drug cartels,PRCT,True,0,True,3,"@[USER]  these are Venezuelan people, and people aren't looking for a hand out,they just want to WORK AND EAT ! 😢😡  BUT YOU wouldn't know the struggles cause u were BLESSED to be born in the USA, your ancestors probably came over on ships here too.  🤦🏽‍♀️
MINE HAVE BEEN HERE AS INDIGENOUS people all along.   🙄🙄🙄",2023-05
COMMENT_c031644f,"Sorry, are you not in Britain right now? Look what Welsh people are doing trying to keep the migrants to occupy the only one hotel they have. Nobody can fight against tha agenda.",PRCT,True,0,True,1,"As a British person, I feel sorry for the people of the USA who thought voting for this would help them.",2023-09
COMMENT_765a992c,Chinese government sent those people to occupy the United States😢,PRCT,True,2,True,1,What an EASY way to assemble your troops within a country without getting caught doing so.,2024-02
COMMENT_e6121869,INVASION we cant take everybody they dont care to come legally we dont have to take them,PRCT,True,0,True,1,People think it’s so easy in America but nobody looks out for us working class people.,2024-01
COMMENT_71082c38,"@[USER]  from stats from Sweden, Germany, and France I hear a different story perhaps different to where you are and I’m sure it’s difficult from country to country on how many and where they came from. Also no go zones where shariah law is upheld and big problem in London where English people are not welcomed in areas in the city. People don’t believe it’s their country any longer and that is sad no matter the country and not to be tolerated.

Another issue is the watering down or dissolution of one’s culture, traditions, and religion. Historically the people make the culture and when you change the people radically so does the culture, traditions, and religion over time. And to me I live a diametrically different life from those groups. Western Rome began a fall for the same reasons, when your everything your nothing. Historically speaking diversity is a weakness and Achilles Heel unless we are talking about enriching yourself culturally which is visiting those places and enriching your culture which historically is helpful and enriching to a culture but that’s not what’s happening here",PRCT,False,9,True,8,"@[USER]  A lot of migrants will be moving for economic reasons sure, but those from the middle-east and north africa won’t receive green cards in Sweden, nor other European countries, if they haven’t fled because of either oppression or war. So even if a lot of the interviewed migrants were to respond this way, they won’t be allowed to stay longer than five years.

On top of that, “recent migrants” only make up a very small portion of the islamic population in western european countries, the percentage of muslims has remained consistent in my country for multiple decades with there only being a slight noticeable increase (4.8 to 5.2%) when we had an influx of Syrian refugees after the outbreak of the civil war, and Syrians tend to lean towards progressive Islam. The vast majority of muslims living in the west have been here for generations and have integrated rather well ór came from (at least previously) rather progressive countries like Turkey Morocco Iraq and Iran. Yet stories like these, from recent migrants coming from more conservative regions tend to affect those populations as well with people linking those backwards cultures to religion. That’s also why I’m very opposed to this narrative.

Crime statistics have also shown a decrease of 35! in total crimes in the past decade in the Netherlands (CBS) despite the high influx of migrants, and crime rates in Sweden have remained relatively stable.",2023-02
COMMENT_b31331bd,Thats qn INVASION!!!!!,PRCT,True,0,True,0,,2024-08
COMMENT_ea23892d,The corporations want them in here to replace the working class with people who are use to less pay and fear authority.,PRCT,True,0,True,1,People think it’s so easy in America but nobody looks out for us working class people.,2024-12
COMMENT_4582221a,@[USER]  Legal immigration is just as bad as illegal...what does it matter how they get here if Europeans still get demographically replaced anyways?,PRCT,True,0,True,2,"Also Legal vs Illegal Immigration. If you follow the law, file the paperwork etc. There is no problem. The problem is unrestricted immigration, or unenforced illegal immigration. If you come in to work, follow the law, pay taxes and be a good citizen, fine. If you want to skip the checks designed to keep criminals out... well...",2022-11
COMMENT_305e2a75,@[USER] they do everyday. These are illegal invaders and should be treated as such,PRCT,True,0,True,8,@[USER]  Do you not know how to follow a comment thread? Try reading for comprehension instead of trying to be a smart a**.,2023-11
COMMENT_a3c51244,@[USER]  oh hell no they are invaders needs to be put out of our country its our country we pay taxes for not them,PRCT,True,0,True,10,"@[USER]  be racist all you want, they're here to stay. You lost 👎",2023-08
COMMENT_4cd3af1d,"thats not going to stop a government that is dedicated to the invasion, they don't need your money they can take it by other means hahaha stop paying thats cute",PRCT,True,0,True,1,This is why all working Americans need to stop paying income taxes until the Govt. can start spending OUR tax dollars with OUR best interest at heart!! Not foreign wars and entitled immigrants.,2024-02
COMMENT_d3f946da,"@[USER] It will effect everyone doesn't matter rich or poor . Just wait some years to reach their number to a significant level . 

I think sweden already cross the controling threshold  level of 5 percent. If their number cross 10 percent than thay will demand sharia in personal laws . If their level cross 15-20 percent than they will demand sharia in every way in all laws . And when their level cross 30 percent they will demand a separate country . 

And projections are saying that by 2050 they will cross 30 percent in Europe O think it will happen before that. 

UK now have 6.5 percent of them 50 percent rise in 10 years .",PRCT,True,0,True,2,this is tragic..worse still knowing your governments have done this on purpose..won't effect them in their safe(rich) areas..,2023-06
COMMENT_6b101d49,"The natives of the entire America 
North America, Central America 
and South America are the real
Americans the others are the invaders",PRCT,False,0,True,1,I love how they don't say anything back because they know he's right.,2023-04
COMMENT_e7edf3fe,"@[USER]   Because they'll get: housing, free money, K-12 education, work permits, etc., while millions of American are already struggling to survive. We are overloaded and I'm certain this is being done/allowed on purpose...by BOTH sides of the political aisle. There is an agenda. Please pay attention, drop ALL of your biases and connect the dots. Good luck to you.",PRCT,True,0,True,2,Why.,2024-02
COMMENT_7ab3534a,"No, you're states have already been ethnically cleansed. The 3rd world is outbreeding those states. You lost. 
It's just the norths turn to be cleansed. 😂😂",PRCT,True,0,True,1,"So glad that the northern states are finally experiencing what Texas, New Mexico, & Arizona are experiencing daily when it come to illegal immigration!",2023-08
COMMENT_fbc422e4,"ANd you've reached it. If inmigrants dont adapt to the country they emmigrate, then it's not inmigration, it's an invasion.",PRCT,True,0,True,1,"As a Swede, alot of us saw this comming.

We had way to big waves of immigration. Not enough rules and laws to ""force"" them to become part of swedish culture, also placing them all in same locations around the country. Creating communitys where immigrants only became friends with other immigrants and not becomming friend with Swedes.

A massive issue comes from natural human behavior:
-The Country has a culture, a behavior stereotype etc that is socially acceptable. 
-In to Sweden there comes hundreds of thousands of people from another cultures and are used to different behaviors. Who do not have to adjust and learn how to live properly in Sweden.
-They obviously also do not have the will to Adjust. Cause thats just how us humans are.

Sweden has laws that protects immigrants, they are not forced to learn the language, or learn to accept the culture. 
Immigrants then know they can demand things. Abusing the Swedish culture (Freedom of religion, Wellfare, etc etc)

Immigration can only work, if the immigrant adjusts to the society and not the other way around: This is the point im trying to reach.",2023-11
COMMENT_d1b478ac,"@[USER]   Because they are not an immigration but Asylum Seekers, by law they are obligated to return home, but rich and political interests have been lying and are now trying to enorme illegal terms of integration to make them citizens because Liberalism have leaded all Liberal countres to drop too much in yearly birth, that unless we replace 80% of the country, society will collapse and Liberals values comfort and stability more then their heritage.
It's literally a planned replacement, because there isn't enough people to replace the aging population. 

Swedes will be extinct.",PRCT,True,0,True,5,"@[USER]  I agree with everything you said, but please consider this point. If the Swedes are more reserved and less opened to make friends out of strangers, then why the hell did they vote for such laxist laws regarding immigration?! I'm from Quebec in Canada, and to immigrate here people need to at least speak French. Like why did the government not think of that when creating immigration policies? Add that to a population that's rather closed to strangers, and you get the situation you have now.",2023-03
COMMENT_cbcfd5a8,"at this point, we should be calling them foreign invaders.",PRCT,True,0,True,1,ILLEGAL not migrant.,2024-02
COMMENT_3e99146b,"@[USER] 
ILLEGAL ALIEN INVADERS",PRCT,True,0,True,2,"It's INVADER, not illegal immigrant.",2024-02
COMMENT_9eb22596,@[USER]  cheap labor. Great excuse for allowing your country to be overrun by unvetted military age men.,PRCT,True,1,True,2,Yes and stop complaining about high prices when there isn't any cheap immigrant labor to keep your prices down.. Can't have it both ways!,2023-08
COMMENT_9e6c05b0,"@[USER] , 😂lmao, you should be marching and yelling, illegals will not replace us! 😂",PRCT,True,0,True,2,Really? You should know by now! Wake up.😮,2024-01
COMMENT_11f07918,Wanna SEE THE TRUTH? YouTube Welcome to the 21st Century Doctor!! It shows you the Democrat's planned this 20 years ago!!,PRCT,True,1,True,1,The audacity to refuse to leave after you entered illegally,2023-09
COMMENT_5188f111,Reading all the comments here it's better to have hard borders and if someone wants to come to Europe they are fully vetted and have means to support themselves. I think the flow would stop dramatically but at the moment it would be like the saying 'closing the gate after the Horse has bolted'. Who really would want people coming to drain resources with no gain to the country whatsoever?. Well except those trying to enforce a version of the Kalergi plan maybe.,PRCT,True,6,True,1,"Naive to think you can integrate people with conflicting ideas, values and ideology into society easily",2023-08
COMMENT_df6f2362,"@[USER]  Being born in a stable doesn't make you a horse PENDEJO...America was built and founded by Europeans for Europeans. All of our immigration laws were for only white people, that's what our actual founding fathers had in mind, so how is being American not being of European descent. No we haven't always been intertwined, when we had leaders who cared about our people that kept nonwhites out. But America has been invaded/taken over by anti-white communists, so now invaders like you get to be here to rewrite our history with the lie that ""America is diverse"" and being an American means anything lol. I know you and other nonwhites want to pretend to be a part of something that you could never build or create on your own because you're ashamed of the quality of your own countries. You don't even want to live around your own people, what does that say lol",PRCT,True,0,True,4,"@[USER]  What identity Im I stealing? You are a fool. I was born in America…First generation citizen and Im of Mexican descent raised with Mexican culture and Spanish…Im Mexican American. Also when did you have to be white to be American??
 
Mexico and America have always been 
intertwined…Americans literally stole western cowboy culture from Vaqueros lol.",2022-11
COMMENT_2d4cffd5,Then send these freeloading invaders back home!,PRCT,True,0,True,1,Vote joe out & the rest of the creeps,2024-02
COMMENT_5078e5a9,some people were sent by their government to occupy the United States😢,PRCT,True,10,True,1,This is a threat to American national security,2024-02
COMMENT_94ce1f50,This looks like an invasion to me. Some of them are laughing.,PRCT,True,0,True,0,,2024-12
COMMENT_3f7a807f,"The mass immigration policies enacted were a race crime against the native Swedish People. And as elsewhere, they were imposed in the spirit of diversifying the population and with a view to rooting out an alleged (indeed slanderous) native xenophobia. Yet ironically, as has been acknowleged,  these policies were also the result of the leaderships own ethnic swedish hubris as they bragged that in their country with their system anyone could become a good Swede. And still this belief hovers over this video too as it blames only the speed of immigration, and policies soft on newcomers. Fact is the newcomers have overtly pillaged and raped this particular Social Democratic paradise, one built up over decades by the Swedish people alone and intended for them alone, as another fact is, the Swedish social system is very Swedish. Its a product in many ways of their specific ethnos and very peculiar to them. It relies on a huge amount of social responsibility and mutual courtesy and christianised belief in fair play and is quite top down heavy, morally. However, once infected with that now infamous sanctimonious and hypocritical Liberal confection of xenophilic capitalist greed and marxian inspired self hatred, decisions were taken that will through rigorous demographic change, in the long term destroy the Swedish Peoples control of their own culture and historic ancestral lands and ultimately rob them of the destiny left them by their ancestors. These crimes and such treachery should not go unpunished.",PRCT,True,5,True,1,This is what happens when you welcome people who do not share your values and your vision of the world.,2022-06
COMMENT_1c02f720,Yes it was invasion because they weren’t seeking asylum prime example here! Deport them!,PRCT,True,1,True,1,"They passed up NINE COUNTRIES to invade ours. That's not seeking asylum, that's SHOPPING.

It's nice to see them getting the medical care many of us can't afford for ourselves. She's got a lot of nice jewelry, too.",2022-10
COMMENT_e02cd0a8,isn't an invasion? :D,PRCT,True,0,True,0,,2024-02
COMMENT_1c304db7,"@[USER]  First, I think 'Dude"" probably knows that. But, as I see it, most different tribes will use the nomenclature of First Peoples, First Nations. Second: You're very correct. There were few first peoples living together in harmony in nature, smoking 'peace pipes' and so on. As in Mexico .. most of Latin America. As in Europe, Asia, Africa. Their commonality: They/We are all Homo sapiens and as such we protect - sometimes viciously - our own 'territory', way of life, commonality to the detriment of others. The Human Stain. Apes, chimpanzees, gorillas, et al. also do it.

To the topic video: Lived and worked in 4 Islamic countries. One guy I met in a train in one of these countries worked in Netherlands. Had been there for a while. He told at an interview for a job that he would take the job (which they were looking to give him) if he had time to say prayers at the appointed time of day. (I know that it would have been at least three.) I doubt I'd get it if I (Catholic) would want to say my rosary, or some Protestant to pray, maybe with others, and read the Bible, and so on. I was told by Muslims that they planned to take over Europe by 2050. .. and they might succeed in some countries. I really enjoyed those four countries, their cultures but sure as hell would want to be a citizen of a country that was predominantly Islamic with some degree of sharia law.",PRCT,False,0,True,2,"Dude, Native Americans are not one monolithic tribe. North America (US and Canada) was made up of hundreds of brutal warring tribes who fought over land and resources. Don't believe me, look up what the Cheyenne did to opposing tribes. European colonies came out on  top because their technology and immunity to old world diseases. Also, are Native American or some variation of Mestizo? You may have Native American Ancestry but you don't know language, beliefs or religion. Culturaly you are Hispanic and its culture that matters more than anything else.",2023-04
COMMENT_014f59ba,"I agree with you friend. You all need to start voting for political leaders who will have the courage to end this failed immigration system. And it's not just Sweden. Look at the UK. Today in greater London (which has a population of around 12 million, which is larger than the entire Swedish population), white British now constitute only 36.8% of the population. It is similarly bad in Birmingham, the country's second-largest city. Do you want to be a minority in your own country? Then you need to take it back before it's too late!",PRCT,True,0,True,1,"As a Swede... No, they are not like us, not even close. The first problem IS immigration,  the second problem is our generous wellfare systems wich are being drained by those who doesent have a shadow of a will or  purpose to ever contribute to our taxing modell. By the time there is more bloodsuckers than veins to drain.. Ive already given up hope on the politicians in Socialdemocrats and the Moderats. We need to prioritize our own people now, the ones who made this rich prosperity blossom one time.",2023-02
COMMENT_d884bc43,"what's it going to show is free housing, free health care and they don't work and receive money etc ... I am not sure it will deter people in other countries that don't have all  of that not to come.  BLAME THE CURRENT ADMINISTRATION WITH THEIR OPEN BORDER POLICY WHO HAVE AN AGENDA == NEW VOTERS TO KEEP DEMOCRATS IN POWER FOR ONE.  THE HELL WITH CITIZENS BORN HERE WHO STRUGLE TO PUT FOOD ON THEIR TABLE , RENT, ETC...",PRCT,True,1,True,1,"Please, PLEASE air this on all media outlets south of the Rio Grande.",2024-02
COMMENT_ceb7ce5d,@[USER]  how gullible are you?  Nobody walks through the Darien gap.  The invaders get transported around the gap.,PRCT,True,0,True,5,@[USER] they walk here they cross a part of the forest in Colombia/Panama called the Darien Gap and then after that they try other methods such as hopping on trains,2024-02
COMMENT_348b4045,"Every one of them has a phone.
These aren't asylum seekers, they're invaders.",PRCT,True,0,True,1,This is heartbreaking. People are so desperate to escape the situations theyre in. But the US can't save everybody. We can't even save ourselves at this point,2023-05
COMMENT_0740ec17,Are you allowed to shoot the invaders? The government should at least allow its citizens to do the job they are not doing : protect their borders and their own citizens.,PRCT,True,0,True,1,"Having moved from a border town a year ago (we lived there 33 years) to what I’d call the mid southeast US, I can see people don’t have a clue about the scope which all this means. People don’t truly understand what does not directly affect them.",2023-10
COMMENT_83f87539,They want to become majority then take over so they can turn America into a Sheet Hole 🕳️ like where they came from. Build the walls now.,PRCT,True,0,True,1,If they hate America then what are they doing here in America.,2024-02
COMMENT_1618e824,What do they care if the invaders want to pretend like they have more right to the country than more recent invaders?  Nothing will change for them either way,PRCT,False,1,True,1,"There should be more of them standing up, why is he the only one?",2014-07
COMMENT_3415a4d8,"@[USER]   WRONG. NOT ""just like us"". We live here. They don't. WE are the citizens. Not them. WE have Constitutional Rights. They don't. They are illegal invaders intentionally shipped here by Democrats in order to destroy the nation, which they are clearly now doing.",PRCT,True,0,True,6,@[USER]  well they need a job…so there,2024-04
COMMENT_a10acc00,@[USER] no it's actually not it was once but it's now the home to millions of Americans Ender being invaded by people from Venezuela that is a f****** Army if you ask me I know probably 10 people at my job that are from Venezuela I'm a vet they act like soldiers for real like really,PRCT,True,0,True,4,"@[USER]   Both California and texas are mexican lands, The US being the richest country in the world won't change that. Just look at their culture",2024-08
COMMENT_64d4bcb3,President Trump had a deal worked out with Mexico to keep them in Mexico while they are being processed. Biden destroys that the first day allowing this invasion.,PRCT,True,1,True,1,This is embarrassing... they should have been stopped at the border...this is not up to Staten island to figure out..these are human beings that are let in and given hope by YOUR elected officials and then you'd with for political purposes...the whole process is just gross,2023-08
COMMENT_162feb72,"16   M I L L I O N   Biden Illegal Invaders now infect out Republic.

Looking forward to President Trump's upcoming Mass Deportation.

.",PRCT,True,0,True,1,"WE AMERICANS 🇺🇸 PAY TAXES FOR HOSPITALS, SCHOOLS, POLICE, ETC… NOT FOR ILLEGAL IMMIGRANTS!!!",2024-02
COMMENT_bb07c52b,The Great Replacement is in full swing.,PRCT,True,2,True,1,"New clothes , new suit cases , phones ect ect , what about American citizens NEEDS",2023-08
COMMENT_ce418749,"It is not multicultural it is sex maniac Muslim trick to invade other religion, once they out number local they will use Sharia Law, how bad is it you can have a look at Afghanistan.",PRCT,True,0,True,1,Problem is Sweden like most Western Countries took in people who don't share common values.  Respect of women. Law and freedom of speech. These people flee to western countries saying they are oppressed but then want to oppress the locals. Who have lived for centuries in that country.   They form their own neighbourhoods and while some integrate the vast majority do not. But expect the natives to bow and scrape to them,2023-12
COMMENT_0da7c5ec,"Part of Biden plan with opening the border is to ""brown America"" bring in the single adult men to hook up with the girls. Not racist, Obama said our country is too white.",PRCT,True,0,True,1,Remove by force. Those guys will be salivating at the chance to get into those young girls. It's tradition in their home country.,2023-08
COMMENT_c30860c5,@[USER]  NO WE DO NOT. It is common knowledge that there is a huge shortage of affordable housing in the US. They try to force their way into our country? You don't just get to invade our country,PRCT,True,0,True,2,"Hold on!!! We have more than enough in this country!!! The problem is that TOO MANY AMERICANS TAKE THIS COUNTRY FOR GRANTED!😠
I've lived 12 years outside of AMERICA, and from the point of the Foreigners. 
I WOULD DO THE SAME THING!!!",2024-08
COMMENT_4a00c7f7,Because it's all planned. Y'all gotta wake up.. Fox news is apart of this.,PRCT,True,0,True,1,So tired.. they are NOT migrants.,2024-02
COMMENT_e60ee7e1,They're trying to erase the American citizens and replace them with third world Invaders,PRCT,True,1,True,1,They're being allowed in for a reason. When that reason is realized it's going to be too late for a lot of folks,2024-04
COMMENT_0708148c,"That's the understatement of the decade. It's multi faceted also, additional financial stresses will now be placed on those of us that pay taxes. Not to mention the health concern and possibility that they aren't here for what they say they are. This is an invasion at this point, and it needs to be treated as such, and stopped ASAP. Without the BS riders attached to the current bill the left has proposed.",PRCT,True,0,True,1,This is a huge security problem.,2024-02
COMMENT_ff9c5308,"@[USER] ,it stopped when they are bringing in millions of future democrats! Like the one from .brazil said,""if I get deported, I will go back to jail""! Does joe know other countries are sending their prisoners for us to take care of?",PRCT,True,0,True,5,@[USER]   !!!!! You can say that again !!,2024-02
COMMENT_0b477abd,SCOTUS passed law today 9-0 that now makes it LEGAL to SUE the USA government!!!! I'd LOVE to see families of victims of the these Illegal Invaders SUE the U.S. government!,PRCT,True,1,True,1,It’s time to hold all of congress accountable!!!! CLEAN HOUSE !!!!,2024-02
COMMENT_7d5f8fb1,"@[USER]  just check statistics. I do not speak about individual perso, but about statistically the effect they have on a western countries when hundred thausands come.
And their average crime rate is much higher than local and than Chinese/Vietnamese, many do street harassment when you never see Chinese/Vietnamese do so… statistically they do very bad as school when statistically Chinese/viet do very good (even better than local westerners), all the pool show that African and musulim are also very homophobic (and homosexual have to hide in area they are numerous), and also very antisemite.
So, please stop live in an imaginary world where everybody is nice and see life as you do, and start to look to the real world and statistics… because taking political decision according to your ideology is step by step changing Europe into Africa/Middle East with all the problems it cause and with the destruction of local European culture.",PRCT,True,0,True,9,@[USER]  that’s kind of dragging all of them over a comb as we would say it in Sweden. You can’t assume that those people are bad or that Chinese or Vietnamese people are all good. You should have formed yourself differently.,2022-08
COMMENT_9219d24a,Illegal invaders.,PRCT,True,0,True,1,ILLEGAL not migrant.,2024-02
COMMENT_34c2c1b1,Keep sending more invaders 😅,PRCT,True,16,True,0,,2023-08
COMMENT_567cf904,"It will destroy the American demographic in one generation, and is a means of redistribution of the money we have left.  Is that rich enough for you?",PRCT,True,0,True,1,"I can't help but think there may be another reason so many people are just being allowed in our borders. Usually, someone, or entity is and stands to capitalize financially. 
It's never the immediate working class, nor the regular American people. 
If it weren't profitable to a powerful entity'(s) it just wouldn't be happening .",2022-10
COMMENT_875f3ddf,Invaded since Biden took office,PRCT,True,0,True,1,"It is not what you say but what you do.  Thank you, Elon!!  Our nation is dramatically changing for the worse.",2023-10
